,inhibitor,inchi,inchikey,canonical_smiles
0,17-AAG (Tanespimycin),"InChI=1S/C31H43N3O8/c1-8-12-33-26-21-13-17(2)14-25(41-7)27(36)19(4)15-20(5)29(42-31(32)39)24(40-6)11-9-10-18(3)30(38)34-22(28(21)37)16-23(26)35/h8-11,15-17,19,24-25,27,29,33,36H,1,12-14H2,2-7H3,(H2,32,39)(H,34,38)/b11-9-,18-10+,20-15+/t17-,19+,24+,25+,27-,29+/m1/s1",AYUNIORJHRXIBJ-TXHRRWQRSA-N,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC
1,A-674563,"InChI=1S/C22H22N4O/c1-15-21-11-17(7-8-22(21)26-25-15)18-10-20(13-24-12-18)27-14-19(23)9-16-5-3-2-4-6-16/h2-8,10-13,19H,9,14,23H2,1H3,(H,25,26)/t19-/m0/s1",BPNUQXPIQBZCMR-IBGZPJMESA-N,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC=CC=C4)N
2,ABT-737,"InChI=1S/C42H45ClN6O5S2/c1-46(2)23-22-35(30-55-37-9-4-3-5-10-37)44-40-21-20-38(28-41(40)49(51)52)56(53,54)45-42(50)32-14-18-36(19-15-32)48-26-24-47(25-27-48)29-33-8-6-7-11-39(33)31-12-16-34(43)17-13-31/h3-21,28,35,44H,22-27,29-30H2,1-2H3,(H,45,50)/t35-/m1/s1",HPLNQCPCUACXLM-PGUFJCEWSA-N,CN(C)CCC(CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
3,AT7519,"InChI=1S/C16H17Cl2N5O2/c17-10-2-1-3-11(18)13(10)15(24)22-12-8-20-23-14(12)16(25)21-9-4-6-19-7-5-9/h1-3,8-9,19H,4-7H2,(H,20,23)(H,21,25)(H,22,24)",OVPNQJVDAFNBDN-UHFFFAOYSA-N,C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl
4,AZD1480,"InChI=1S/C14H14ClFN8/c1-7-3-11(24-23-7)21-13-10(15)6-19-14(22-13)20-8(2)12-17-4-9(16)5-18-12/h3-6,8H,1-2H3,(H3,19,20,21,22,23,24)/t8-/m0/s1",PDOQBOJDRPLBQU-QMMMGPOBSA-N,CC1=CC(=NN1)NC2=NC(=NC=C2Cl)NC(C)C3=NC=C(C=N3)F
5,Afatinib (BIBW-2992),,,
6,Alisertib (MLN8237),"InChI=1S/C27H20ClFN4O4/c1-36-21-5-3-4-20(29)23(21)25-19-10-15(28)6-8-17(19)24-14(12-30-25)13-31-27(33-24)32-16-7-9-18(26(34)35)22(11-16)37-2/h3-11,13H,12H2,1-2H3,(H,34,35)(H,31,32,33)",ZLHFILGSQDJULK-UHFFFAOYSA-N,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC
7,Axitinib (AG-013736),,,
8,BEZ235,"InChI=1S/C30H23N5O/c1-30(2,18-31)22-9-11-23(12-10-22)35-28-24-15-19(21-14-20-6-4-5-7-25(20)32-16-21)8-13-26(24)33-17-27(28)34(3)29(35)36/h4-17H,1-3H3",JOGKUKXHTYWRGZ-UHFFFAOYSA-N,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5
9,BI-2536,"InChI=1S/C28H39N7O3/c1-5-22-27(37)34(3)23-17-29-28(32-25(23)35(22)20-8-6-7-9-20)31-21-11-10-18(16-24(21)38-4)26(36)30-19-12-14-33(2)15-13-19/h10-11,16-17,19-20,22H,5-9,12-15H2,1-4H3,(H,30,36)(H,29,31,32)/t22-/m1/s1",XQVVPGYIWAGRNI-JOCHJYFZSA-N,CCC1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C
