drug	node	prop_weight
(5Z)-7-Oxozeaenol	HDAC3	0.0076571078722166815
(5Z)-7-Oxozeaenol	RBBP4	0.00764500594024938
(5Z)-7-Oxozeaenol	HNF4A	0.006921093524658579
(5Z)-7-Oxozeaenol	MTA1	0.006598719334569585
(5Z)-7-Oxozeaenol	NR2C1	0.004812386528397946
(5Z)-7-Oxozeaenol	RXRB	0.0045225067246697824
(5Z)-7-Oxozeaenol	RPP38	0.003734075784079074
(5Z)-7-Oxozeaenol	FKBP5	0.0035398738959296506
(5Z)-7-Oxozeaenol	PATZ1	0.0011798456549047035
(5Z)-7-Oxozeaenol	JAZF1	0.0011785528921819026
(5Z)-7-Oxozeaenol	NR2C2AP	0.0005892193081629347
(5Z)-7-Oxozeaenol	RBBP7	0.00015088592787134913
(5Z)-7-Oxozeaenol	MBD3	0.00012656738232874967
(5Z)-7-Oxozeaenol	NR3C1	0.00012517408091750005
(5Z)-7-Oxozeaenol	DNMT3B	8.937618333240384e-05
(5Z)-7-Oxozeaenol	PPARD	6.775330698312485e-05
(5Z)-7-Oxozeaenol	MBD2	5.9742889008372714e-05
(5Z)-7-Oxozeaenol	POLD3	5.30957747097961e-05
(5Z)-7-Oxozeaenol	RCOR1	4.883377276888506e-05
(5Z)-7-Oxozeaenol	MECP2	4.7696170401630894e-05
(5Z)-7-Oxozeaenol	SMARCA1	4.3854818063093846e-05
(5Z)-7-Oxozeaenol	PPARA	3.932829407102872e-05
(5Z)-7-Oxozeaenol	TLE3	3.596268994506747e-05
(5Z)-7-Oxozeaenol	NSD2	3.170987097420203e-05
(5Z)-7-Oxozeaenol	HELLS	3.001379668921609e-05
(5Z)-7-Oxozeaenol	NR2F1	2.8497645431408174e-05
(5Z)-7-Oxozeaenol	PCGF6	2.6555685839390345e-05
(5Z)-7-Oxozeaenol	IFRD1	2.1111625081684664e-05
(5Z)-7-Oxozeaenol	ZFPM2	1.905640342094123e-05
(5Z)-7-Oxozeaenol	NACC2	1.3478412998885159e-05
(5Z)-7-Oxozeaenol	HSF4	1.2113140487799478e-05
(5Z)-7-Oxozeaenol	POP7	1.1838377470579076e-05
(5Z)-7-Oxozeaenol	NOVA1	6.044269391769015e-06
(5Z)-7-Oxozeaenol	NRBF2	4.801312513879069e-06
(5Z)-7-Oxozeaenol	NAB1	1.5431588737928092e-06
(5Z)-7-Oxozeaenol	EFCAB6	1.4280064410473014e-06
(5Z)-7-Oxozeaenol	INSM1	8.705378007723725e-07
(5Z)-7-Oxozeaenol	ZFHX4	6.534786901360536e-07
(5Z)-7-Oxozeaenol	SERGEF	6.116430817793434e-07
(5Z)-7-Oxozeaenol	CNP	4.794814250276294e-07
(5Z)-7-Oxozeaenol	NDRG2	3.9731513580050246e-07
(5Z)-7-Oxozeaenol	NASP	3.415236068907473e-07
(5Z)-7-Oxozeaenol	ZNF140	3.373799158654251e-07
(5Z)-7-Oxozeaenol	ZNF19	3.3737991586542503e-07
(5Z)-7-Oxozeaenol	ZNF133	3.3737991586542487e-07
(5Z)-7-Oxozeaenol	ZNF382	3.3737991586542487e-07
(5Z)-7-Oxozeaenol	KRT222	3.0555363750644284e-07
(5Z)-7-Oxozeaenol	ARID5B	2.840258145490823e-07
(5Z)-7-Oxozeaenol	CUX2	2.763354299325349e-07
(5Z)-7-Oxozeaenol	OR10J1	1.5897481981799392e-07
(5Z)-7-Oxozeaenol	RPS6KL1	1.5037425530732848e-07
(5Z)-7-Oxozeaenol	FASTK	1.5037425530732832e-07
(5Z)-7-Oxozeaenol	KLF11	1.362799166994749e-07
(5Z)-7-Oxozeaenol	DNAH2	1.3220413301388868e-07
(5Z)-7-Oxozeaenol	GSC2	1.2140766081234136e-08
(5Z)-7-Oxozeaenol	ZNF765	5.6981009099452776e-09
5-Fluorouracil	PSMA5	0.012030470009978464
5-Fluorouracil	MAPK14	0.011978394851915423
5-Fluorouracil	TXN	0.009604785191224043
5-Fluorouracil	UBQLN4	0.00904638498730695
5-Fluorouracil	UBXN7	0.008870945952440399
5-Fluorouracil	UBE2A	0.008537067109403605
5-Fluorouracil	UPF2	0.008189778911536357
5-Fluorouracil	UBE2C	0.007632224959352125
5-Fluorouracil	PHGDH	0.0073482712658491265
5-Fluorouracil	SAE1	0.0069283777935138045
5-Fluorouracil	DUT	0.005988053481252374
5-Fluorouracil	SH3GL2	0.005987498860288015
5-Fluorouracil	ATP6V1E1	0.005714716216983099
5-Fluorouracil	PGAM1	0.00571186276814585
5-Fluorouracil	PDCD6	0.00566972497621034
5-Fluorouracil	SBDS	0.005352840016017372
5-Fluorouracil	EIF5A	0.005351859052950725
5-Fluorouracil	AHCYL1	0.005057680323640061
5-Fluorouracil	ATIC	0.004468690250776029
5-Fluorouracil	ATP6V1C1	0.0041168649218205206
5-Fluorouracil	VPS4B	0.004109073575656214
5-Fluorouracil	GOT1	0.0038003316785294094
5-Fluorouracil	ADSL	0.00317246865667237
5-Fluorouracil	PPAT	0.003150274933708601
5-Fluorouracil	DCK	0.001889336554230257
5-Fluorouracil	REXO2	0.0009440760418562588
5-Fluorouracil	WDR45B	0.000629412772699592
5-Fluorouracil	CUL5	0.00024231186646595039
5-Fluorouracil	PSMA3	0.00016484886262625568
5-Fluorouracil	UBE2B	0.0001358953608497016
5-Fluorouracil	UBE2V1	0.0001258569696257345
5-Fluorouracil	G6PD	0.00011953575490320393
5-Fluorouracil	SHMT1	0.00010662059512788418
5-Fluorouracil	UBE2L3	0.000100702248289513
5-Fluorouracil	PSMB5	9.82782438295504e-05
5-Fluorouracil	YAP1	9.623357807807114e-05
5-Fluorouracil	RAD23B	8.861366250758604e-05
5-Fluorouracil	PAICS	8.79646137601242e-05
5-Fluorouracil	IDH1	8.781718917365144e-05
5-Fluorouracil	ENO2	8.558582699237413e-05
5-Fluorouracil	GART	8.367530522279374e-05
5-Fluorouracil	XRN2	8.182015101157174e-05
5-Fluorouracil	SRSF2	7.681859443134126e-05
5-Fluorouracil	SERPINH1	7.676026444395231e-05
