drug	node	prop_weight
(5Z)-7-Oxozeaenol	HSPE1	0.16452392508382446
(5Z)-7-Oxozeaenol	ZNHIT6	0.1600547308103832
(5Z)-7-Oxozeaenol	PIK3CG	0.1126252100647009
(5Z)-7-Oxozeaenol	CD247	0.09608443100138786
(5Z)-7-Oxozeaenol	ITGB3	0.08422477778581168
(5Z)-7-Oxozeaenol	CAV1	0.08028314898145758
(5Z)-7-Oxozeaenol	GALNT2	0.08023334053345077
(5Z)-7-Oxozeaenol	BMP2	0.06080322304371622
(5Z)-7-Oxozeaenol	GALNT12	0.06038888512386854
(5Z)-7-Oxozeaenol	PRKAR1A	0.05550924636634077
(5Z)-7-Oxozeaenol	CD3E	0.055430555285698235
(5Z)-7-Oxozeaenol	SGK1	0.05365622713083944
(5Z)-7-Oxozeaenol	SDCBP	0.05205520635813322
(5Z)-7-Oxozeaenol	ERBB2	0.05157137366458412
(5Z)-7-Oxozeaenol	BMP4	0.05079597316711984
(5Z)-7-Oxozeaenol	DLG1	0.05059767215979828
(5Z)-7-Oxozeaenol	HLA-DQA1	0.0433601491238744
(5Z)-7-Oxozeaenol	TFRC	0.04187376800138346
(5Z)-7-Oxozeaenol	ERBB4	0.03685589441115943
(5Z)-7-Oxozeaenol	PRKAR1B	0.03543140486845851
(5Z)-7-Oxozeaenol	DCN	0.03432186716972328
(5Z)-7-Oxozeaenol	BMP7	0.030286719465267987
(5Z)-7-Oxozeaenol	CDC37	0.02354807928557696
(5Z)-7-Oxozeaenol	AKAP5	0.02071761675357516
(5Z)-7-Oxozeaenol	VCAN	0.020538488746810357
(5Z)-7-Oxozeaenol	GALNT14	0.02021381676566173
(5Z)-7-Oxozeaenol	GDF5	0.0201068383045063
(5Z)-7-Oxozeaenol	PATJ	0.018466920103895636
(5Z)-7-Oxozeaenol	CRELD2	0.017083572018939945
(5Z)-7-Oxozeaenol	TRAF1	0.016144020211068734
(5Z)-7-Oxozeaenol	KCNJ4	0.01610285868289569
(5Z)-7-Oxozeaenol	SMURF1	0.01527436289434639
(5Z)-7-Oxozeaenol	GJB1	0.015070341995724006
(5Z)-7-Oxozeaenol	MAP2K4	0.013699037826684787
(5Z)-7-Oxozeaenol	KPNA3	0.012707339020403163
(5Z)-7-Oxozeaenol	PTPN11	0.012677708235312954
(5Z)-7-Oxozeaenol	KCNJ8	0.011896974148668214
(5Z)-7-Oxozeaenol	JAK1	0.011795751178594296
(5Z)-7-Oxozeaenol	STK39	0.011734518271446764
(5Z)-7-Oxozeaenol	CYLD	0.011375168049245942
(5Z)-7-Oxozeaenol	BIRC3	0.010868915526986806
(5Z)-7-Oxozeaenol	MAP3K2	0.010862828966584736
(5Z)-7-Oxozeaenol	CCR10	0.010004561598609808
(5Z)-7-Oxozeaenol	KCNJ11	0.009370353684618159
(5Z)-7-Oxozeaenol	LAMTOR3	0.009335864253751856
(5Z)-7-Oxozeaenol	MAP2K3	0.009114945539103879
(5Z)-7-Oxozeaenol	SLC25A3	0.008784174843504841
(5Z)-7-Oxozeaenol	TANK	0.008532873389903977
(5Z)-7-Oxozeaenol	UQCRQ	0.00829329864985423
(5Z)-7-Oxozeaenol	CYC1	0.008276570938912308
(5Z)-7-Oxozeaenol	AFG3L2	0.007874852004276848
(5Z)-7-Oxozeaenol	ADAM10	0.007859830664783109
(5Z)-7-Oxozeaenol	MAPK8IP1	0.007785396501588841
(5Z)-7-Oxozeaenol	ANTXR1	0.0074003652050360705
(5Z)-7-Oxozeaenol	PIEZO1	0.0073658365208523514
(5Z)-7-Oxozeaenol	IRF4	0.007115252251169906
(5Z)-7-Oxozeaenol	BID	0.007034573515705593
(5Z)-7-Oxozeaenol	GABARAP	0.006945970306773972
(5Z)-7-Oxozeaenol	TICAM1	0.0068477230030620255
(5Z)-7-Oxozeaenol	PLA2G1B	0.006820992013380886
(5Z)-7-Oxozeaenol	RNF31	0.006801015957636329
(5Z)-7-Oxozeaenol	RAB1A	0.006590149615584573
(5Z)-7-Oxozeaenol	MAP3K11	0.006481460939793571
(5Z)-7-Oxozeaenol	YIPF5	0.006318673273587032
(5Z)-7-Oxozeaenol	ABCC1	0.006250539788819244
(5Z)-7-Oxozeaenol	RAB1B	0.0062143097932698425
(5Z)-7-Oxozeaenol	CASP1	0.00613443954911396
(5Z)-7-Oxozeaenol	TRPC4AP	0.006027034006858483
(5Z)-7-Oxozeaenol	NEDD4L	0.005980735084184777
(5Z)-7-Oxozeaenol	ING4	0.005690801626578625
(5Z)-7-Oxozeaenol	MLST8	0.005633702040182983
(5Z)-7-Oxozeaenol	CNST	0.0055628186897216615
(5Z)-7-Oxozeaenol	PLVAP	0.005341538297622411
(5Z)-7-Oxozeaenol	NOTCH2	0.005199909545254677
(5Z)-7-Oxozeaenol	PRKAG1	0.00499585063106684
(5Z)-7-Oxozeaenol	MAPK8IP3	0.004971591583390981
(5Z)-7-Oxozeaenol	MAP1LC3C	0.004810167815706673
(5Z)-7-Oxozeaenol	TRIB3	0.004643414888469571
(5Z)-7-Oxozeaenol	KCNJ16	0.004594628865273331
(5Z)-7-Oxozeaenol	MSX2	0.00457583354761776
(5Z)-7-Oxozeaenol	GADD45B	0.004571247260604439
(5Z)-7-Oxozeaenol	NOD1	0.0043394054640474135
(5Z)-7-Oxozeaenol	S100A10	0.004287667637390945
(5Z)-7-Oxozeaenol	TLE2	0.0041344377993470394
(5Z)-7-Oxozeaenol	ITGB2	0.0041193159803219305
(5Z)-7-Oxozeaenol	WNK2	0.003921419983828973
(5Z)-7-Oxozeaenol	IGF2R	0.0037095764927692096
(5Z)-7-Oxozeaenol	TLR3	0.0035254320124865103
(5Z)-7-Oxozeaenol	TAB3	0.0034705424258678497
(5Z)-7-Oxozeaenol	TLE4	0.003466673414239217
(5Z)-7-Oxozeaenol	HTRA1	0.003386141799460009
(5Z)-7-Oxozeaenol	CD79B	0.0032161598347883744
(5Z)-7-Oxozeaenol	ATG13	0.003053203564701819
(5Z)-7-Oxozeaenol	IRGM	0.002948866365264504
(5Z)-7-Oxozeaenol	CD79A	0.0028879434471123077
(5Z)-7-Oxozeaenol	BGN	0.0028245310777887576
(5Z)-7-Oxozeaenol	KNG1	0.002672824164845034
(5Z)-7-Oxozeaenol	DLX2	0.0025734084413693396
(5Z)-7-Oxozeaenol	SERINC1	0.002302882657590832
(5Z)-7-Oxozeaenol	PCSK5	0.0022691691629528146
(5Z)-7-Oxozeaenol	CHSY1	0.002130313619986221
(5Z)-7-Oxozeaenol	TAZ	0.002117361657012945
(5Z)-7-Oxozeaenol	NLRP3	0.002058015583435629
(5Z)-7-Oxozeaenol	BMP1	0.002042821292655578
(5Z)-7-Oxozeaenol	DLX5	0.001918333997480055
(5Z)-7-Oxozeaenol	MUC7	0.0019120436225778161
(5Z)-7-Oxozeaenol	GJB6	0.001841004577905948
(5Z)-7-Oxozeaenol	FCGR2A	0.0018054434380692238
(5Z)-7-Oxozeaenol	SOSTDC1	0.001711207764093217
(5Z)-7-Oxozeaenol	VMA21	0.001703686122525182
(5Z)-7-Oxozeaenol	TNFRSF11A	0.0016811636777301446
(5Z)-7-Oxozeaenol	CHRD	0.001606164311568208
(5Z)-7-Oxozeaenol	LHX2	0.001564898350565433
(5Z)-7-Oxozeaenol	TNFRSF25	0.0015646895814466078
(5Z)-7-Oxozeaenol	FSTL1	0.0015302257449206387
(5Z)-7-Oxozeaenol	TMBIM4	0.0015225633393209034
(5Z)-7-Oxozeaenol	BST2	0.0014499125492784411
(5Z)-7-Oxozeaenol	ATG4B	0.001436266029619775
(5Z)-7-Oxozeaenol	NDST1	0.0014362423707564914
(5Z)-7-Oxozeaenol	JAZF1	0.0014332386047228
