filename	organoid
84bba63e-1ed1-4832-9559-d7752cc741b2.htseq_counts.txt.gz	hT96
40c3d223-a76c-4433-a18a-ca45d03072fa.FPKM-UQ.txt.gz	hM17D
9d26edab-7937-423c-8b5a-ac333211a29b.FPKM.txt.gz	hT108
cef42a2e-ed4c-488e-aba4-41aad7bc52f9.rna_seq.star_gene_counts.tsv.gz	hM1A
cdd8996e-fb92-4499-83fa-ef393afbe86c.FPKM-UQ.txt.gz	hM1A
955f9541-b394-4b28-90de-9101d24f72ad.FPKM.txt.gz	hF31
ec21019e-472d-4f1f-8cfc-bf4dd8bee7ab.FPKM-UQ.txt.gz	hM21F
f888eea4-4fda-4f9f-a8cb-66e8219ce268.FPKM.txt.gz	hM19C
f7b2476f-2087-4e10-8571-bd8e1fcbb835.htseq_counts.txt.gz	hM1A
955f9541-b394-4b28-90de-9101d24f72ad.FPKM-UQ.txt.gz	hF31
97512c95-1685-46a9-88db-071766889490.FPKM-UQ.txt.gz	hN31
d4f8538e-93d1-40ba-9c89-ad59ab96c1f7.FPKM.txt.gz	hF39
4584bfa8-d55e-4bdc-a045-5b036c653a2a.htseq_counts.txt.gz	hM1F
0cb86557-2800-425b-9593-10dbafc99f02.rna_seq.star_gene_counts.tsv.gz	hF28
1c75df78-5aca-4280-a22b-044670ba86ab.htseq_counts.txt.gz	hF23
6c9f1a8a-eb13-48fa-aee7-bc0f5d1039eb.rna_seq.star_gene_counts.tsv.gz	hM21D
dec5e5a1-09c1-404c-8f50-ff351412dc31.FPKM.txt.gz	hF81
fc29320e-ef34-49e4-97a8-642487dcc95a.FPKM.txt.gz	hT1
62e3c932-a358-4e79-855e-8f4e4ba12e67.FPKM-UQ.txt.gz	hT64
b50204d5-5eba-4873-8a59-070d4d2a6a2c.rna_seq.star_gene_counts.tsv.gz	hF50
84bba63e-1ed1-4832-9559-d7752cc741b2.FPKM.txt.gz	hT96
bf13bb79-70b4-4e50-aa11-b07933398cc1.FPKM.txt.gz	hM1A
19627314-9c27-46fc-88c7-a4a4129734f8.htseq_counts.txt.gz	hF27
26345bdf-1219-4668-b714-5b983a2694ff.FPKM-UQ.txt.gz	hT89
40c3d223-a76c-4433-a18a-ca45d03072fa.FPKM.txt.gz	hM17D
0a52e6fa-dc69-4886-84ea-adfa28bceb3c.rna_seq.star_gene_counts.tsv.gz	hM1A
bc06ad7f-7af9-4e8c-8bbe-908faf0d7edc.FPKM-UQ.txt.gz	hF3
30471596-3380-456a-8e55-2925b108e017.htseq_counts.txt.gz	hT85
8a84b3e2-92a0-4c2b-986b-0efa8a22a8f3.FPKM.txt.gz	hT48
8236bc9d-2156-4991-a5eb-223e02229b3a.FPKM-UQ.txt.gz	hM1A
ec392d74-9f55-4363-a8bb-62bb4716343c.FPKM-UQ.txt.gz	hT117
9d26edab-7937-423c-8b5a-ac333211a29b.htseq_counts.txt.gz	hT108
f910b928-416e-4790-9d4f-9a8a58d5919b.rna_seq.star_gene_counts.tsv.gz	hT30
80b9fcf4-185c-4e52-bcff-8ab52ab4bfa5.FPKM.txt.gz	hM19A
26345bdf-1219-4668-b714-5b983a2694ff.FPKM.txt.gz	hT89
